"NEXTIME","1Time Airline"
"RWANDAIR","Rwandair Express"
"RYAN AIR","Ryan Air Services"
"RYAN INTERNATIONAL","Ryan International Airlines"
"RYANAIR","Ryanair"
"REGIONAL EUROPE","Régional"
"AIR AZORES","SATA International"
"SPRINGBOK","South African Airways"
"SHAHEEN AIR","Shaheen Air International"
"SCANDINAVIAN","Scandinavian Airlines System"
"SUCKLING","ScotAirways"
"SIBERIAN AIRLINES","S7 Airlines"
"SEABORNE","Seaborne Airlines"
"SCENIC","Scenic Airlines"
"SRILANKAN","SriLankan Airlines"
"SUN COUNTRY","Sun Country Airlines"
"SOUTHEAST AIR","Southeast Air"
"AIR CRETE","Sky Express"
"SPICEJET","Spicejet"
"STARFLYER","Star Flyer"
"SKAGWAY AIR","Skagway Air Service"
"","Sahara Airlines"
"SATA","SATA Air Acores"
"SINGAPORE","Singapore Airlines"
"SIBAVIA","Sibaviatrans"
"BLUEJET","Skynet Airlines"
"SRIWIJAYA","Sriwijaya Air"
"NAJIM","Sama Airlines"
"SINGCARGO","Singapore Airlines Cargo"
"SIEMREAP AIR","Siem Reap Airways"
"SEAIR","South East Asian Airlines"
"SKYTOUR","Skyservice Airlines"
"FUEGUINO","Servicios de Transportes A"
"SUDANAIR","Sudan Airways"
"SAUDIA","Saudi Arabian Airlines"
"SOUTHWEST","Southwest Airlines"
"SOUTHERN WINDS","Southern Winds Airlines"
"SWISS","Swiss International Air Lines"
"Swissair","Swissair"
"EUROSWISS","Swiss European Air Lines"
"FLYING SWEDE","Swe Fly"
"SUNEXPRESS","SunExpress"
"SYRIANAIR","Syrian Arab Airlines"
"SKYWAY-EX","Skywalk Airlines"
"SHANDONG","Shandong Airlines"
"SCANOR","SAS Braathens"
"AIR SPRING","Spring Airlines"
"SI CHUAN","Sichuan Airlines"
"SHANGHAI AIR","Shanghai Airlines"
"SHENZHEN AIR","Shenzhen Airlines"
"ECHO ROMEO","Sun D'Or"
"RELAX","SkyEurope"
"MATRA","Sky Europe Airlines"
"SPANAIR","Spanair"
