"Interair South Africa","INLINE"
"Interavia Airlines","ASTAIR"
"Interlink Airlines","INTERLINK"
"Intersky","INTERSKY"
"Iran Air","IRANAIR"
"Iran Aseman Airlines",""
"Iraqi Airways","IRAQI"
"Island Airlines",""
"Cargo Plus Aviation",""
"Islas Airways","PINTADERA"
"Islena De Inversiones",""
"Israir","ISRAIR"
"Itek Air","ITEK-AIR"
"JAL Express","JANEX"
"JALways","JALWAYS"
"Japan Airlines","JAPANAIR"
"Japan Airlines Domestic","J-BIRD"
"Japan Asia Airways","ASIA"
"Japan Transocean Air","JAI OCEAN"
"Jazeera Airways","JAZEERA"
"Jeju Air","JEJU AIR"
"Jet Airways","JET AIRWAYS"
"Jet Airways",""
"Jetstar Asia Airways","JETSTAR ASIA"
"Jet2.com","CHANNEX"
"Jet4You","ARGAN"
"JetBlue Airways","JETBLUE"
"Jetairfly","BEAUTY"
"Jetflite","JETFLITE"
"Jetstar Airways","JETSTAR"
"Juneyao Airlines","JUNEYAO AIRLINES"
"KD Avia","KALININGRAD AIR"
"KLM Cityhopper","CITY"
"KLM Royal Dutch Airlines","KLM"
"Kam Air","KAMGAR"
"Kavminvodyavia","AIR MINVODY"
"Kendell Airlines","KENDELL"
"Kenmore Air","KENMORE"
"Kenya Airways","KENYA"
"Kingfisher Airlines","KINGFISHER"
"Kish Air","KISHAIR"
"Kogalymavia Air Company","KOGALYM"
"Korean Air","KOREANAIR"
"Kosmos","KOSMOS"
"Krasnojarsky Airlines","KRASNOJARSKY AIR"
"Kuban Airlines","AIR KUBAN"
"Kuwait Airways","KUWAITI"
"Kuzu Airlines Cargo","KUZU CARGO"
"LACSA","LACSA"
"LAN Airlines","LAN"
"LAN Argentina","LAN AR"
"LAN Express","LANEX"
"LAN Peru","LANPERU"
"LOT Polish Airlines","POLLOT"
"LTE International Airways","FUN JET"
"LTU Austria","BILLA TRANSPORT"
"Lao Airlines","LAO"
"LatCharter","LATCHARTER"
"Lauda Air","LAUDA AIR"
"Leeward Islands Air Transport","LIAT"
"Libyan Arab Airlines","LIBAIR"
"Linhas A","MOZAMBIQUE"
"Lion Mentari Airlines","LION INTER"
"Luftfahrtgesellschaft Walter","WALTER"
"Lufthansa","LUFTHANSA"
"Lufthansa Cargo","LUFTHANSA CARGO"
"Lufthansa CityLine","HANSALINE"
"Lufttransport","LUFT TRANSPORT"
"Luxair","LUXAIR"
"L","LAPA"
"MasAir","MAS CARGA"
"MAT Macedonian Airlines","MAKAVIO"
"MIAT Mongolian Airlines","MONGOL AIR"
"MNG Airlines","BLACK SEA"
"Macair Airlines",""
"Maersk",""
"Mahan Air","MAHAN AIR"
"Malaysia Airlines","MALAYSIAN"
"Malmo Aviation","SCANWING"
"Malmö Aviation","Scanwings"
"Malta Air Charter","MALTA CHARTER"
"Malév","MALEV"
"Mandala Airlines","MANDALA"
"Mandarin Airlines","Mandarin"
"Mango","TULCA"
"Martinair","MARTINAIR"
"Maxair","MAXAIR"
"Maya Island Air","MYLAND"
"Meridiana","MERAIR"
"Merpati Nusantara Airlines","MERPATI"
"Mesa Airlines","AIR SHUTTLE"
"Mesaba Airlines","MESABA"
"Mexicana de Aviaci","MEXICANA"
"Middle East Airlines","CEDAR JET"
"Midway Airlines","MIDWAY"
"Midwest Airlines",""
"Midwest Airlines (Egypt)",""
"Moldavian Airlines","MOLDAVIAN"
"Monarch Airlines","MONARCH"
"Myway Airlines",""
"Montenegro Airlines","MONTAIR"
"Morningstar Air Express","MORNINGSTAR"
"Moskovia Airlines","GROMOV AIRLINE"
"Motor Sich","MOTOR SICH"
"MyTravel Airways","KESTREL"
"Myanma Airways","UNIONAIR"
"Myanmar Airways International","assignment postponed"
"Myflug","MYFLUG"
"Nasair","NASAIRWAYS"
"National Jet Systems","NATIONAL JET"
"Nationwide Airlines","NATIONWIDE"
"Nauru Air Corporation","AIR NAURU"
"Nepal Airlines","ROYAL NEPAL"
"NetJets","EXECJET"
"New England Airlines","NEW ENGLAND"
"NextJet","NEXTJET"
"Niki","FLYNIKI"
"Nok Air","NOK AIR"
"Norfolk County Flight College","COUNTY"
"North American Airlines","NORTHAM"
"North American Charters","HAMMER"
"Northern Dene Airways",""
"Northwest Airlines","NORTHWEST"
"Northwestern Air","POLARIS"
"Norwegian Air Shuttle","NOR SHUTTLE"
"Norwegian Aviation College","SPRIT"
"Nouvel Air Tunisie","NOUVELAIR"
"Novair","NAVIGATOR"
"Nas Air","NAS EXPRESS"
"Oasis Hong Kong Airlines","OASIS"
"Ocean Air","BLUE OCEAN"
"Oceanair","OCEANAIR"
"Oceanic Airlines",""
"Olympic Airlines","OLYMPIC"
"Oman Air","OMAN AIR"
"Omni Air International","OMNI-EXPRESS"
"One Two Go Airlines","THAI EXPRESS"
"Onur Air","ONUR AIR"
"Orenburg Airlines","ORENBURG"
"Orient Thai Airlines","ORIENT THAI"
"Origin Pacific Airways","ORIGIN"
"Ostfriesische Lufttransport","OLTRA"
"Overland Airways","OVERLAND"
"Ozjet Airlines","AUSJET"
"PAN Air","SKYJET"
"PB Air","PEEBEE AIR"
"PLUNA","PLUNA"
"PMTair","MULTITRADE"
"Jetstar Pacific","PACIFIC AIRLINES"
"Pacific Coastal Airline","PASCO"
"Pacific East Asia Cargo Airlines","PAC-EAST CARGO"
"Pacific Island Aviation","PACIFIC ISLE"
"Pacific Wings","TSUNAMI"
"Pakistan International Airlines","PAKISTAN"
"Paramount Airways","PARAWAY"
"Passaredo Transportes Aereos","PASSAREDO"
"Pegasus Airlines","SUNTURK"
"Peninsula Airways","PENINSULA"
"Philippine Airlines","PHILIPPINE"
"Piedmont Airlines (1948-1989)","PIEDMONT"
"Pinnacle Airlines","FLAGSHIP"
"Polet","POLET"
"Polynesian Airlines","POLYNESIAN"
"Porter Airlines","PORTER AIR"
"Portugalia","PORTUGALIA"
"Potomac Air","DISTRICT"
"Precision Air","PRECISION AIR"
"Privatair","PRIVATAIR"
"Proflight Commuter Services",""
"Qantas","QANTAS"
"Qatar Airways","QATARI"
"RACSA",""
